,id0,id1,points_0,points_1
0,Boise State,Hawaii,49,14
0,Mississippi,Vanderbilt,26,27
0,Memphis,Tulane,37,23
0,SMU,Southern Miss,34,6
0,UCF,UTEP,31,24
0,Boston College,Notre Dame,6,21
0,BYU,Idaho,52,13
0,California,Oregon,17,59
0,UCLA,Washington State,44,36
0,Utah,Washington,15,34
0,Fresno State,Nevada,52,36
0,Ball State,Ohio,52,27
0,N. Illinois,Toledo,31,24
0,North Carolina,Virginia,37,13
0,FIU,Florida Atlantic,34,24
0,Air Force,Hawaii,21,7
0,Florida State,Maryland,41,14
0,Iowa,Michigan,17,42
0,Cincinnati,Rutgers,3,10
0,Michigan State,Northwestern,20,23
0,Bowling Green,Kent State,24,31
0,Tulsa,UCF,23,21
0,Indiana,Penn State,22,45
0,Houston,Marshall,41,44
0,Army,Temple,32,63
0,Arkansas,Mississippi State,14,45
0,Boston College,Virginia Tech,23,30
0,C. Michigan,"Miami, OH",30,16
0,Colorado,Washington,3,38
0,Memphis,UAB,46,9
0,E. Michigan,W. Michigan,29,23
0,Arizona State,Washington State,46,7
0,"Miami, FL",South Florida,40,9
0,Southern Cal,UCLA,28,38
0,Notre Dame,Wake Forest,38,0
0,LSU,Mississippi,41,35
0,Clemson,N.C. State,62,48
0,Minnesota,Nebraska,14,38
0,Oklahoma State,Texas Tech,59,21
0,Duke,Georgia Tech,24,42
0,Boise State,Colorado State,42,14
0,Nevada,New Mexico,31,24
0,Rice,SMU,36,14
0,Ohio State,Wisconsin,21,21
0,Illinois,Purdue,17,20
0,Arkansas State,Troy,41,34
0,East Carolina,Tulane,28,23
0,La. Tech,Utah State,41,48
0,La.-Monroe,North Texas,42,16
0,UNLV,Wyoming,23,28
0,Oklahoma,West Virginia,50,49
0,Missouri,Syracuse,27,31
0,Tennessee,Vanderbilt,18,41
0,La.-Lafayette,W. Kentucky,31,27
0,Iowa State,Kansas,51,23
0,Baylor,Kansas State,52,24
0,Oregon,Stanford,14,17
0,Southern Miss,UTEP,33,34
0,Arizona,Utah,34,24
0,California,Oregon State,14,62
0,BYU,San Jose State,14,20
0,Akron,Toledo,23,35
0,TCU,Texas,20,13
0,Kent State,Ohio,28,6
0,Syracuse,Temple,38,20
0,Iowa,Nebraska,7,13
0,Ball State,"Miami, OH",31,24
0,E. Michigan,N. Illinois,7,49
0,East Carolina,Marshall,65,59
0,Bowling Green,Buffalo,21,7
0,Arkansas,LSU,13,20
0,Colorado,Utah,35,42
0,Washington,Washington State,28,31
0,Iowa State,West Virginia,24,31
0,Cincinnati,South Florida,27,10
0,Arizona,Arizona State,34,41
0,Georgia,Georgia Tech,42,10
0,Pittsburgh,Rutgers,27,6
0,Michigan,Ohio State,21,26
0,Connecticut,Louisville,23,20
0,Illinois,Northwestern,14,50
0,Virginia,Virginia Tech,14,17
0,UAB,UCF,24,49
0,Indiana,Purdue,35,56
0,SMU,Tulsa,35,27
0,Kentucky,Tennessee,17,37
0,Duke,"Miami, FL",45,52
0,North Texas,W. Kentucky,24,25
0,Baylor,Texas Tech,52,45
0,Oregon,Oregon State,48,24
0,Boston College,N.C. State,10,27
0,Maryland,North Carolina,38,45
0,Idaho,Utah State,9,45
0,Alabama,Auburn,49,0
0,Florida,Florida State,37,26
0,Oklahoma,Oklahoma State,51,48
0,Michigan State,Minnesota,26,10
0,Vanderbilt,Wake Forest,55,21
0,BYU,New Mexico,50,14
0,Penn State,Wisconsin,24,21
0,Houston,Tulane,40,17
0,Air Force,Fresno State,15,48
0,MTSU,Troy,24,21
0,San Diego State,Wyoming,42,28
0,Memphis,Southern Miss,42,24
0,FIU,La.-Monroe,17,23
0,Stanford,UCLA,35,17
0,Missouri,Texas A&M,29,59
0,Clemson,South Carolina,17,27
0,Colorado State,New Mexico,24,20
0,Mississippi,Mississippi State,41,24
0,Rice,UTEP,33,24
0,Notre Dame,Southern Cal,22,13
0,La. Tech,San Jose State,43,52
0,Hawaii,UNLV,48,10
0,Louisville,Rutgers,20,17
0,Kent State,N. Illinois,37,44
0,Stanford,UCLA,27,24
0,Oklahoma,TCU,24,17
0,Baylor,Oklahoma State,41,34
0,Tulsa,UCF,33,27
0,Kansas,West Virginia,10,59
0,Arkansas State,MTSU,45,0
0,Florida Atlantic,La.-Lafayette,21,35
0,Boise State,Nevada,27,21
0,Cincinnati,Connecticut,34,17
0,Alabama,Georgia,32,28
0,Pittsburgh,South Florida,27,3
0,Kansas State,Texas,42,24
0,Florida State,Georgia Tech,21,15
0,Nebraska,Wisconsin,31,70
0,Army,Navy,13,17
0,Arizona,Nevada,49,48
0,Toledo,Utah State,15,41
0,BYU,San Diego State,23,6
0,Ball State,UCF,17,38
0,East Carolina,La.-Lafayette,34,43
0,Boise State,Washington,28,26
0,Fresno State,SMU,10,43
0,C. Michigan,W. Kentucky,24,21
0,Bowling Green,San Jose State,20,29
0,Cincinnati,Duke,48,34
0,Baylor,UCLA,49,26
0,La.-Monroe,Ohio,14,45
0,Rutgers,Virginia Tech,10,13
0,Minnesota,Texas Tech,31,34
0,Air Force,Rice,14,33
0,Syracuse,West Virginia,38,14
0,Arizona State,Navy,62,28
0,Oregon State,Texas,27,31
0,Michigan State,TCU,17,16
0,N.C. State,Vanderbilt,24,38
0,Georgia Tech,Southern Cal,21,7
0,Iowa State,Tulsa,17,31
0,Clemson,LSU,25,24
0,Mississippi State,Northwestern,20,34
0,Oklahoma State,Purdue,58,14
0,Georgia,Nebraska,45,31
0,Michigan,South Carolina,28,33
0,Stanford,Wisconsin,20,14
0,Florida State,N. Illinois,31,10
0,Florida,Louisville,23,33
0,Kansas State,Oregon,17,35
0,Oklahoma,Texas A&M,13,41
0,Mississippi,Pittsburgh,38,17
0,Arkansas State,Kent State,17,13
0,Alabama,Notre Dame,42,14
0,North Carolina,South Carolina,10,27
0,Minnesota,UNLV,51,23
0,Bowling Green,Tulsa,34,7
0,Akron,UCF,7,38
0,Utah,Utah State,30,26
0,Mississippi,Vanderbilt,39,35
0,Fresno State,Rutgers,52,51
0,Hawaii,Southern Cal,13,30
0,Michigan State,W. Michigan,26,13
0,FAU,"Miami, FL",6,34
0,SMU,Texas Tech,23,41
0,Buffalo,Ohio State,20,40
0,Massachusetts,Wisconsin,0,45
0,Cincinnati,Purdue,42,7
0,Florida,Toledo,24,6
0,FIU,Maryland,10,43
0,La. Tech,N.C. State,14,40
0,Rice,Texas A&M,28,52
0,Mississippi State,Oklahoma State,3,21
0,Notre Dame,Temple,28,6
0,C. Michigan,Michigan,9,59
0,Penn State,Syracuse,23,17
0,BYU,Virginia,16,19
0,Iowa,N. Illinois,27,30
0,Arkansas,La.-Lafayette,34,14
0,Alabama,Virginia Tech,35,10
0,La.-Monroe,Oklahoma,0,34
0,Auburn,Washington State,31,24
0,Idaho,North Texas,6,40
0,Marshall,"Miami, OH",52,14
0,Southern Miss,Texas State,15,22
0,Troy,UAB,34,31
0,Kentucky,W. Kentucky,26,35
0,Clemson,Georgia,38,35
0,New Mexico,Texas,7,56
0,Nebraska,Wyoming,37,34
0,LSU,TCU,37,27
0,Boise State,Washington,6,38
0,Nevada,UCLA,20,58
0,California,Northwestern,30,44
0,Louisville,Ohio,49,7
0,Colorado,Colorado State,41,27
0,Florida State,Pittsburgh,41,13
0,East Carolina,FAU,31,13
0,Boston College,Wake Forest,24,10
0,FIU,UCF,0,38
0,Florida,"Miami, FL",16,21
0,Kentucky,"Miami, OH",41,7
0,Michigan State,South Florida,21,6
0,E. Michigan,Penn State,7,45
0,Houston,Temple,22,13
0,Cincinnati,Illinois,17,45
0,Bowling Green,Kent State,41,22
0,Tennessee,W. Kentucky,52,20
0,MTSU,North Carolina,20,40
0,Army,Ball State,14,40
0,Oregon,Virginia,59,10
0,Ohio State,San Diego State,42,7
0,Baylor,Buffalo,70,13
0,Missouri,Toledo,38,23
0,Air Force,Utah State,20,52
0,South Alabama,Tulane,41,39
0,Idaho,Wyoming,10,42
0,Georgia,South Carolina,41,30
0,Duke,Memphis,28,14
0,Northwestern,Syracuse,48,27
0,Nebraska,Southern Miss,56,13
0,Indiana,Navy,35,41
0,Kansas State,La.-Lafayette,48,27
0,BYU,Texas,40,21
0,Oklahoma,West Virginia,16,7
0,North Texas,Ohio,21,27
0,Colorado State,Tulsa,27,30
0,Arkansas State,Auburn,9,38
0,LSU,UAB,56,17
0,Michigan,Notre Dame,41,30
0,Minnesota,New Mexico State,44,21
0,Hawaii,Oregon State,14,33
0,New Mexico,UTEP,42,35
0,Southern Cal,Washington State,7,10
0,Arizona,UNLV,58,13
0,San Jose State,Stanford,13,34
0,TCU,Texas Tech,10,20
0,Arkansas State,Troy,41,34
0,Air Force,Boise State,20,42
0,Army,Stanford,20,34
0,Kentucky,Louisville,13,27
0,Akron,Michigan,24,28
0,Oklahoma,Tulsa,51,20
0,Nebraska,UCLA,21,41
0,Bowling Green,Indiana,10,42
0,East Carolina,Virginia Tech,10,15
0,Arkansas,Southern Miss,24,3
0,La.-Monroe,Wake Forest,21,19
0,New Mexico,Pittsburgh,27,49
0,E. Michigan,Rutgers,10,28
0,Boston College,Southern Cal,7,35
0,Alabama,Texas A&M,49,42
0,Oregon,Tennessee,59,14
0,Florida State,Nevada,62,7
0,Duke,Georgia Tech,14,38
0,Ball State,North Texas,27,34
0,Idaho,N. Illinois,35,45
0,Illinois,Washington,24,34
0,Iowa,Iowa State,27,21
0,Penn State,UCF,31,34
0,California,Ohio State,34,52
0,Kent State,LSU,13,45
0,South Carolina,Vanderbilt,35,25
0,Auburn,Mississippi State,24,20
0,FAU,South Florida,28,10
0,Kansas State,Massachusetts,37,7
0,MTSU,Memphis,17,15
0,South Alabama,W. Kentucky,31,24
