,id0,id1,points_0,points_1,spread,over_under
0,Alabama,LSU,30,16,7.5,None
0,Minnesota,Ohio State,14,28,23.5,None
0,Notre Dame,Pittsburgh,42,30,9.0,None
0,Michigan State,Nebraska,38,39,-4.0,None
0,Oklahoma State,TCU,49,29,-6.5,None
0,Indiana,Iowa,27,35,7.0,None
0,Florida,Vanderbilt,9,7,21.0,None
0,Colorado,Stanford,10,42,15.0,None
0,Utah,Washington,34,23,-3.0,None
0,Memphis,Navy,20,45,-10.5,None
0,Iowa State,Oklahoma,16,52,25.0,None
0,Michigan,Rutgers,49,16,24.4,None
0,Arkansas,Mississippi,53,52,-7.5,None
0,Auburn,Texas A&M,26,10,-7.0,None
0,Northwestern,Penn State,23,21,-2.5,None
0,Oregon State,UCLA,0,41,16.5,None
0,Cincinnati,Houston,30,33,8.5,None
0,Akron,Massachusetts,17,13,-1.5,None
0,FAU,W. Kentucky,19,35,25.5,None
0,Tulsa,UCF,45,30,17.0,None
0,Illinois,Purdue,48,14,4.0,None
0,Texas Tech,West Virginia,26,31,9.0,None
0,Duke,North Carolina,31,66,7.0,None
0,Georgia,Kentucky,27,3,17.0,None
0,Louisville,Syracuse,41,17,17.0,None
0,Boston College,N.C. State,8,24,4.0,None
0,Georgia State,La.-Lafayette,21,23,2.0,None
0,E. Michigan,"Miami, OH",13,28,4.5,None
0,Idaho,South Alabama,45,52,8.0,None
0,Colorado State,Wyoming,26,7,9.5,None
0,"Miami, FL",Virginia,27,21,6.5,None
0,Air Force,Army,20,3,16.5,None
0,Arizona State,Washington State,24,38,2.5,None
0,Maryland,Wisconsin,24,31,10.0,None
0,La. Tech,North Texas,56,13,29.5,None
0,MTSU,Marshall,27,24,2.0,None
0,La.-Monroe,Troy,14,51,9.0,None
0,New Mexico,Utah State,14,13,-20.0,None
0,Connecticut,Tulane,7,3,5.5,None
0,South Carolina,Tennessee,24,27,17.0,None
0,Hawaii,UNLV,21,41,8.0,None
0,Old Dominion,UTSA,36,31,-8.0,None
0,East Carolina,South Florida,17,22,-5.0,None
0,Kansas,Texas,20,59,28.5,None
0,California,Oregon,28,44,3.5,None
0,Arizona,Southern Cal,30,38,19.5,None
0,Kent State,Ohio,0,27,6.5,None
0,C. Michigan,Toledo,23,28,3.0,None
0,Buffalo,N. Illinois,30,41,7.0,None
0,Bowling Green,W. Michigan,41,27,3.5,None
0,La.-Lafayette,South Alabama,25,32,-0.0,None
0,Georgia Tech,Virginia Tech,21,23,-1.5,None
0,Colorado,Southern Cal,24,27,17.0,None
0,Clemson,Syracuse,37,27,30.0,None
0,Alabama,Mississippi State,31,6,7.5,None
0,Illinois,Ohio State,3,28,17.5,None
0,Notre Dame,Wake Forest,28,7,25.5,None
0,Iowa,Minnesota,40,35,9.0,None
0,Baylor,Oklahoma,34,44,-2.0,None
0,Oregon,Stanford,38,36,-10.0,None
0,Iowa State,Oklahoma State,31,35,12.0,None
0,Arkansas,LSU,31,14,-6.5,None
0,Arizona,Utah,30,30,-6.0,None
0,Florida,South Carolina,24,14,7.5,None
0,Maryland,Michigan State,7,24,17.5,None
0,Indiana,Michigan,41,48,13.0,None
0,Kansas,TCU,17,23,47.0,None
0,Florida State,N.C. State,34,17,7.0,None
0,Northwestern,Purdue,21,14,14.0,None
0,UCLA,Washington State,27,31,-11.5,None
